tab	samples
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
	211.7	0.0	0.0	90.0	This study	-34.0			0		SO-CMD-NORTH	MA1-1	MA1
	222.7	0.0	0.0	90.0	This study	-34.0			0		SO-CMD-NORTH	MA1-2	MA1
	215.7	0.0	0.0	90.0	This study	-41.0			0		SO-CMD-NORTH	MA1-3	MA1
	229.7	0.0	0.0	90.0	This study	-28.0			0		SO-CMD-NORTH	MA1-4	MA1
	226.7	0.0	0.0	90.0	This study	-34.0			0		SO-CMD-NORTH	MA1-5	MA1
	234.7	0.0	0.0	90.0	This study	-37.0			0		SO-CMD-NORTH	MA1-6	MA1
	229.7	0.0	0.0	90.0	This study	-46.0			0		SO-CMD-NORTH	MA1-7	MA1
	236.7	0.0	0.0	90.0	This study	-39.0			0		SO-CMD-NORTH	MA1-8	MA1
	246.7	0.0	0.0	90.0	This study	-46.0			0		SO-CMD-NORTH	MA1-9	MA1
	-71.3	0.0	0.0	90.0	This study	-66.0			0		SO-CMD-NORTH	MA2-1	MA2
	-65.3	0.0	0.0	90.0	This study	-66.0			0		SO-CMD-NORTH	MA2-2	MA2
	-66.3	0.0	0.0	90.0	This study	-64.0			0		SO-CMD-NORTH	MA2-3	MA2
	-60.3	0.0	0.0	90.0	This study	-65.0			0		SO-CMD-NORTH	MA2-4	MA2
	-55.3	0.0	0.0	90.0	This study	-67.0			0		SO-CMD-NORTH	MA2-5	MA2
	-64.3	0.0	0.0	90.0	This study	-67.0			0		SO-CMD-NORTH	MA2-6	MA2
	-54.3	0.0	0.0	90.0	This study	-60.0			0		SO-CMD-NORTH	MA2-7	MA2
	-57.3	0.0	0.0	90.0	This study	-65.0			0		SO-CMD-NORTH	MA2-8	MA2
	-58.3	0.0	0.0	90.0	This study	-66.0			0		SO-CMD-NORTH	MA2-9	MA2
	259.7	0.0	0.0	90.0	This study	-71.0			0		SO-CMD-NORTH	MA3-1	MA3
	258.7	0.0	0.0	90.0	This study	-69.0			0		SO-CMD-NORTH	MA3-2	MA3
	265.7	0.0	0.0	90.0	This study	-73.0			0		SO-CMD-NORTH	MA3-3	MA3
	268.7	0.0	0.0	90.0	This study	-56.0			0		SO-CMD-NORTH	MA3-4	MA3
	263.7	0.0	0.0	90.0	This study	-63.0			0		SO-CMD-NORTH	MA3-5	MA3
	264.7	0.0	0.0	90.0	This study	-57.0			0		SO-CMD-NORTH	MA3-6	MA3
	268.7	0.0	0.0	90.0	This study	-54.0			0		SO-CMD-NORTH	MA3-7	MA3
	256.7	0.0	0.0	90.0	This study	-72.0			0		SO-CMD-NORTH	MA3-8	MA3
	25.3	0.0	0.0	90.0	This study	-61.0			0		SO-CMD-NORTH	MA4-1	MA4
	31.0	0.0	0.0	90.0	This study	-60.0			0		SO-CMD-NORTH	MA4-2	MA4
	27.5	0.0	0.0	90.0	This study	-52.0			0		SO-CMD-NORTH	MA4-3	MA4
	31.7	0.0	0.0	90.0	This study	-55.0			0		SO-CMD-NORTH	MA4-4	MA4
	29.7	0.0	0.0	90.0	This study	-59.0			0		SO-CMD-NORTH	MA4-5	MA4
	34.8	0.0	0.0	90.0	This study	-47.0			0		SO-CMD-NORTH	MA4-6	MA4
	40.1	0.0	0.0	90.0	This study	-39.0			0		SO-CMD-NORTH	MA4-7	MA4
	41.7	0.0	0.0	90.0	This study	-47.0			0		SO-CMD-NORTH	MA4-8	MA4
	53.9	0.0	0.0	90.0	This study	-39.0			0		SO-CMD-NORTH	MA4-9	MA4
	47.7	0.0	0.0	90.0	This study	-45.0			0		SO-CMD-NORTH	MA4-10	MA4
	62.9	0.0	0.0	90.0	This study	-51.0			0		SO-CMD-NORTH	MA4-11	MA4
	-81.3	0.0	0.0	90.0	This study	-22.0			0		SO-CMD-NORTH	MA5-1	MA5
	-64.2	0.0	0.0	90.0	This study	-28.0			0		SO-CMD-NORTH	MA5-2	MA5
	-72.0	0.0	0.0	90.0	This study	-25.0			0		SO-CMD-NORTH	MA5-3	MA5
	-70.7	0.0	0.0	90.0	This study	-26.0			0		SO-CMD-NORTH	MA5-4	MA5
	-51.3	0.0	0.0	90.0	This study	-53.0			0		SO-CMD-NORTH	MA5-5	MA5
	-58.3	0.0	0.0	90.0	This study	-57.0			0		SO-CMD-NORTH	MA5-6	MA5
	-54.3	0.0	0.0	90.0	This study	-61.0			0		SO-CMD-NORTH	MA5-7	MA5
	-54.3	0.0	0.0	90.0	This study	-55.0			0		SO-CMD-NORTH	MA5-8	MA5
	76.4	0.0	0.0	90.0	This study	-56.0			0		SO-CMD-NORTH	MA6-1	MA6
	66.9	0.0	0.0	90.0	This study	-62.0			0		SO-CMD-NORTH	MA6-2	MA6
	68.1	0.0	0.0	90.0	This study	-66.0			0		SO-CMD-NORTH	MA6-3	MA6
	66.8	0.0	0.0	90.0	This study	-61.0			0		SO-CMD-NORTH	MA6-4	MA6
	68.3	0.0	0.0	90.0	This study	-64.0			0		SO-CMD-NORTH	MA6-5	MA6
	74.0	0.0	0.0	90.0	This study	-71.0			0		SO-CMD-NORTH	MA6-6	MA6
	70.1	0.0	0.0	90.0	This study	-66.0			0		SO-CMD-NORTH	MA6-7	MA6
	73.5	0.0	0.0	90.0	This study	-64.0			0		SO-CMD-NORTH	MA6-8	MA6
	-87.2	0.0	0.0	90.0	This study	-53.0			0		SO-CMD-NORTH	MA7-1	MA7
	-82.7	0.0	0.0	90.0	This study	-52.0			0		SO-CMD-NORTH	MA7-2	MA7
	-65.7	0.0	0.0	90.0	This study	-41.0			0		SO-CMD-NORTH	MA7-3	MA7
	-57.3	0.0	0.0	90.0	This study	-36.0			0		SO-CMD-NORTH	MA7-4	MA7
	-46.2	0.0	0.0	90.0	This study	-33.0			0		SO-CMD-NORTH	MA7-5	MA7
	-71.2	0.0	0.0	90.0	This study	-46.0			0		SO-CMD-NORTH	MA7-6	MA7
	-67.6	0.0	0.0	90.0	This study	-43.0			0		SO-CMD-NORTH	MA7-7	MA7
	-65.5	0.0	0.0	90.0	This study	-46.0			0		SO-CMD-NORTH	MA7-8	MA7
	-63.4	0.0	0.0	90.0	This study	-47.0			0		SO-CMD-NORTH	MA7-9	MA7
	160.4	0.0	0.0	90.0	This study	-53.0			0		SO-CMD-NORTH	MA8-1	MA8
	108.4	0.0	0.0	90.0	This study	-34.0			0		SO-CMD-NORTH	MA8-2	MA8
	104.4	0.0	0.0	90.0	This study	-34.0			0		SO-CMD-NORTH	MA8-3	MA8
	151.4	0.0	0.0	90.0	This study	-35.0			0		SO-CMD-NORTH	MA8-4	MA8
	194.4	0.0	0.0	90.0	This study	-66.0			0		SO-CMD-NORTH	MA8-6	MA8
	144.4	0.0	0.0	90.0	This study	-61.0			0		SO-CMD-NORTH	MA8-7	MA8
	132.4	0.0	0.0	90.0	This study	-56.0			0		SO-CMD-NORTH	MA8-8	MA8
	143.4	0.0	0.0	90.0	This study	-63.0			0		SO-CMD-NORTH	MA9-1	MA9
	145.4	0.0	0.0	90.0	This study	-63.0			0		SO-CMD-NORTH	MA9-2	MA9
	159.4	0.0	0.0	90.0	This study	-43.0			0		SO-CMD-NORTH	MA9-3	MA9
	140.4	0.0	0.0	90.0	This study	-63.0			0		SO-CMD-NORTH	MA9-4	MA9
	146.4	0.0	0.0	90.0	This study	-62.0			0		SO-CMD-NORTH	MA9-5	MA9
	131.4	0.0	0.0	90.0	This study	-40.0			0		SO-CMD-NORTH	MA9-6	MA9
	140.4	0.0	0.0	90.0	This study	-41.0			0		SO-CMD-NORTH	MA9-7	MA9
	111.4	0.0	0.0	90.0	This study	-32.0			0		SO-CMD-NORTH	MA9-8	MA9
	112.4	0.0	0.0	90.0	This study	-34.0			0		SO-CMD-NORTH	MA9-9	MA9
	116.4	0.0	0.0	90.0	This study	-40.0			0		SO-CMD-NORTH	MA9-10	MA9
	113.9	0.0	0.0	90.0	This study	-25.0			0		SO-CMD-NORTH	MA10-1	MA10
	97.1	0.0	0.0	90.0	This study	-43.0			0		SO-CMD-NORTH	MA10-2	MA10
	166.7	0.0	0.0	90.0	This study	-32.0			0		SO-CMD-NORTH	MA10-3	MA10
	146.3	0.0	0.0	90.0	This study	-30.0			0		SO-CMD-NORTH	MA10-4	MA10
	136.5	0.0	0.0	90.0	This study	-36.0			0		SO-CMD-NORTH	MA10-5	MA10
	127.1	0.0	0.0	90.0	This study	-41.0			0		SO-CMD-NORTH	MA10-6	MA10
	125.7	0.0	0.0	90.0	This study	-25.0			0		SO-CMD-NORTH	MA10-7	MA10
	157.2	0.0	0.0	90.0	This study	-30.0			0		SO-CMD-NORTH	MA10-8	MA10
	204.8	0.0	0.0	90.0	This study	-10.0			0		SO-CMD-NORTH	MA11-1	MA11
	205.5	0.0	0.0	90.0	This study	-7.0			0		SO-CMD-NORTH	MA11-2	MA11
	204.9	0.0	0.0	90.0	This study	-5.0			0		SO-CMD-NORTH	MA11-3	MA11
	193.1	0.0	0.0	90.0	This study	-6.0			0		SO-CMD-NORTH	MA11-4	MA11
	211.4	0.0	0.0	90.0	This study	-7.0			0		SO-CMD-NORTH	MA11-5	MA11
	206.6	0.0	0.0	90.0	This study	-11.0			0		SO-CMD-NORTH	MA11-6	MA11
	180.8	0.0	0.0	90.0	This study	-10.0			0		SO-CMD-NORTH	MA11-7	MA11
	181.0	0.0	0.0	90.0	This study	-16.0			0		SO-CMD-NORTH	MA11-8	MA11
	184.2	0.0	0.0	90.0	This study	-11.0			0		SO-CMD-NORTH	MA11-9	MA11
	62.7	0.0	0.0	90.0	This study	-37.0			0		SO-CMD-NORTH	MA12-1	MA12
	68.7	0.0	0.0	90.0	This study	-31.0			0		SO-CMD-NORTH	MA12-2	MA12
	-1.0	0.0	0.0	90.0	This study	-18.0			0		SO-CMD-NORTH	MA12-3	MA12
	14.7	0.0	0.0	90.0	This study	-25.0			0		SO-CMD-NORTH	MA12-4	MA12
	90.5	0.0	0.0	90.0	This study	-26.0			0		SO-CMD-NORTH	MA12-5	MA12
	82.0	0.0	0.0	90.0	This study	-22.0			0		SO-CMD-NORTH	MA12-6	MA12
	80.9	0.0	0.0	90.0	This study	-30.0			0		SO-CMD-NORTH	MA12-7	MA12
	69.0	0.0	0.0	90.0	This study	-30.0			0		SO-CMD-NORTH	MA12-8	MA12
	70.2	0.0	0.0	90.0	This study	-36.0			0		SO-CMD-NORTH	MA13-1	MA13
	67.9	0.0	0.0	90.0	This study	-46.0			0		SO-CMD-NORTH	MA13-2	MA13
	46.5	0.0	0.0	90.0	This study	-48.0			0		SO-CMD-NORTH	MA13-3	MA13
	48.2	0.0	0.0	90.0	This study	-43.0			0		SO-CMD-NORTH	MA13-4	MA13
	50.5	0.0	0.0	90.0	This study	-32.0			0		SO-CMD-NORTH	MA13-5	MA13
	57.2	0.0	0.0	90.0	This study	-35.0			0		SO-CMD-NORTH	MA13-6	MA13
	79.7	0.0	0.0	90.0	This study	-27.0			0		SO-CMD-NORTH	MA13-7	MA13
	66.9	0.0	0.0	90.0	This study	-32.0			0		SO-CMD-NORTH	MA13-8	MA13
	16.7	0.0	0.0	90.0	This study	-20.0			0		SO-CMD-NORTH	MA14-1	MA14
	34.7	0.0	0.0	90.0	This study	-16.0			0		SO-CMD-NORTH	MA14-2	MA14
	33.7	0.0	0.0	90.0	This study	-16.0			0		SO-CMD-NORTH	MA14-3	MA14
	29.7	0.0	0.0	90.0	This study	-23.0			0		SO-CMD-NORTH	MA14-4	MA14
	32.7	0.0	0.0	90.0	This study	-21.0			0		SO-CMD-NORTH	MA14-5	MA14
	32.7	0.0	0.0	90.0	This study	-19.0			0		SO-CMD-NORTH	MA14-6	MA14
	16.7	0.0	0.0	90.0	This study	-20.0			0		SO-CMD-NORTH	MA14-7	MA14
	23.7	0.0	0.0	90.0	This study	-20.0			0		SO-CMD-NORTH	MA14-8	MA14
	-52.3	0.0	0.0	90.0	This study	-36.0			0		SO-CMD-NORTH	MA15-1	MA15
	-47.3	0.0	0.0	90.0	This study	-28.0			0		SO-CMD-NORTH	MA15-2	MA15
	-69.3	0.0	0.0	90.0	This study	-38.0			0		SO-CMD-NORTH	MA15-3	MA15
	-75.3	0.0	0.0	90.0	This study	-44.0			0		SO-CMD-NORTH	MA15-4	MA15
	-55.3	0.0	0.0	90.0	This study	-37.0			0		SO-CMD-NORTH	MA15-5	MA15
	-63.3	0.0	0.0	90.0	This study	-44.0			0		SO-CMD-NORTH	MA15-6	MA15
	-63.3	0.0	0.0	90.0	This study	-45.0			0		SO-CMD-NORTH	MA15-7	MA15
	-61.3	0.0	0.0	90.0	This study	-35.0			0		SO-CMD-NORTH	MA15-8	MA15
	-9.3	0.0	0.0	90.0	This study	-58.0			0		SO-CMD-NORTH	MA16-1	MA16
	-2.8	0.0	0.0	90.0	This study	-53.0			0		SO-CMD-NORTH	MA16-2	MA16
	-11.2	0.0	0.0	90.0	This study	-52.0			0		SO-CMD-NORTH	MA16-3	MA16
	4.7	0.0	0.0	90.0	This study	-45.0			0		SO-CMD-NORTH	MA16-4	MA16
	-18.1	0.0	0.0	90.0	This study	-54.0			0		SO-CMD-NORTH	MA16-5	MA16
	-0.5	0.0	0.0	90.0	This study	-51.0			0		SO-CMD-NORTH	MA16-6	MA16
	-11.5	0.0	0.0	90.0	This study	-52.0			0		SO-CMD-NORTH	MA16-7	MA16
	-1.9	0.0	0.0	90.0	This study	-53.0			0		SO-CMD-NORTH	MA16-8	MA16
	241.5	0.0	0.0	90.0	This study	-50.0			0		SO-CMD-NORTH	MA17-1	MA17
	242.5	0.0	0.0	90.0	This study	-48.0			0		SO-CMD-NORTH	MA17-2	MA17
	242.5	0.0	0.0	90.0	This study	-48.0			0		SO-CMD-NORTH	MA17-3	MA17
	238.5	0.0	0.0	90.0	This study	-60.0			0		SO-CMD-NORTH	MA17-4	MA17
	239.5	0.0	0.0	90.0	This study	-51.0			0		SO-CMD-NORTH	MA17-5	MA17
	225.5	0.0	0.0	90.0	This study	-50.0			0		SO-CMD-NORTH	MA17-6	MA17
	221.5	0.0	0.0	90.0	This study	-54.0			0		SO-CMD-NORTH	MA17-7	MA17
	219.5	0.0	0.0	90.0	This study	-46.0			0		SO-CMD-NORTH	MA17-8	MA17
	222.5	0.0	0.0	90.0	This study	-49.0			0		SO-CMD-NORTH	MA17-9	MA17
	214.5	0.0	0.0	90.0	This study	-52.0			0		SO-CMD-NORTH	MA17-10	MA17
	234.5	0.0	0.0	90.0	This study	-50.0			0		SO-CMD-NORTH	MA17-11	MA17
	43.6	0.0	0.0	90.0	This study	-55.0			0		SO-CMD-NORTH	GD1-1	GD1
	46.4	0.0	0.0	90.0	This study	-46.0			0		SO-CMD-NORTH	GD1-2	GD1
	54.0	0.0	0.0	90.0	This study	-33.0			0		SO-CMD-NORTH	GD1-3	GD1
	268.7	0.0	0.0	90.0	This study	-19.0			0		SO-CMD-NORTH	GD1-4	GD1
	247.2	0.0	0.0	90.0	This study	-15.0			0		SO-CMD-NORTH	GD1-5	GD1
	229.9	0.0	0.0	90.0	This study	-16.0			0		SO-CMD-NORTH	GD1-6	GD1
	245.8	0.0	0.0	90.0	This study	-17.0			0		SO-CMD-NORTH	GD1-7	GD1
	261.7	0.0	0.0	90.0	This study	-17.0			0		SO-CMD-NORTH	GD1-8	GD1
	210.0	0.0	0.0	90.0	This study	-13.0			0		SO-CMD-NORTH	GD2-1	GD2
	117.0	0.0	0.0	90.0	This study	-82.0			0		SO-CMD-NORTH	GD2-2	GD2
	156.0	0.0	0.0	90.0	This study	-3.0			0		SO-CMD-NORTH	GD2-3	GD2
	59.0	0.0	0.0	90.0	This study	-103.0			0		SO-CMD-NORTH	GD2-4	GD2
	157.0	0.0	0.0	90.0	This study	-83.0			0		SO-CMD-NORTH	GD2-5	GD2
	72.0	0.0	0.0	90.0	This study	-103.0			0		SO-CMD-NORTH	GD2-6	GD2
	225.0	0.0	0.0	90.0	This study	-72.0			0		SO-CMD-NORTH	GD2-7	GD2
	-32.0	0.0	0.0	90.0	This study	-80.0			0		SO-CMD-NORTH	GD2-8	GD2
