tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
GD1	Adirondacks	GD1-2:GD1-3:GD1-4:GD1-5:GD1-6:GD1-7:GD1-8	GD1-2a:GD1-3a:GD1-4a:GD1-5a:GD1-6a:GD1-7a:GD1-8a	    3.9 	lt	    1.4 	   66.2 	   239 	7.0	7 	7 	0 	n	6.9748 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    6.4 	    5.2 	   85.4 	  297.6 
GD1	Adirondacks	GD1-1:GD1-2:GD1-3:GD1-4:GD1-5:GD1-6:GD1-7:GD1-8	GD1-1a:GD1-2a:GD1-3a:GD1-4a:GD1-5a:GD1-6a:GD1-7a:GD1-8a	    6.7 	mt	  252.4 	   57.4 	    69 	8.0	8 	8 	0 	t	7.8986 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	    9.8 	    7.2 	   14.9 	  234.9 
GD1	Adirondacks	GD1-2:GD1-3:GD1-4:GD1-5:GD1-6:GD1-7:GD1-8	GD1-2a:GD1-3a:GD1-4a:GD1-5a:GD1-6a:GD1-7a:GD1-8a	    3.9 	lt	    1.4 	   66.2 	   239 	7.0	7 	7 	0 	n	6.9748 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    6.4 	    5.2 	   85.4 	  297.6 
GD1	Adirondacks	GD1-1:GD1-2:GD1-3:GD1-4:GD1-5:GD1-6:GD1-7:GD1-8	GD1-1a:GD1-2a:GD1-3a:GD1-4a:GD1-5a:GD1-6a:GD1-7a:GD1-8a	    6.7 	mt	  252.4 	   57.4 	    69 	8.0	8 	8 	0 	t	7.8986 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	g	    9.8 	    7.2 	   14.9 	  234.9 
GD2	Adirondacks	GD2-1:GD2-3:GD2-5:GD2-6:GD2-7:GD2-8	GD2-1a:GD2-3a:GD2-5a:GD2-6a:GD2-7a:GD2-8a	   11.5 	lt	  348.4 	   64.4 	    35 	6.0	6 	6 	0 	n	5.8561 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   18.4 	   14.7 	   81.6 	  214.5 
GD2	Adirondacks	GD2-1:GD2-2:GD2-4:GD2-5:GD2-7:GD2-8	GD2-1a:GD2-2a:GD2-4a:GD2-5a:GD2-7a:GD2-8a	    9.1 	mt	  142.6 	   28.7 	    55 	6.0	6 	6 	0 	t	5.9088 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	   10.0 	    5.5 	  -21.5 	  324.9 
GD2	Adirondacks	GD2-1:GD2-3:GD2-5:GD2-6:GD2-7:GD2-8	GD2-1a:GD2-3a:GD2-5a:GD2-6a:GD2-7a:GD2-8a	   11.5 	lt	  348.4 	   64.4 	    35 	6.0	6 	6 	0 	n	5.8561 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   18.4 	   14.7 	   81.6 	  214.5 
GD2	Adirondacks	GD2-1:GD2-2:GD2-4:GD2-5:GD2-7:GD2-8	GD2-1a:GD2-2a:GD2-4a:GD2-5a:GD2-7a:GD2-8a	    9.1 	mt	  142.6 	   28.7 	    55 	6.0	6 	6 	0 	t	5.9088 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   10.0 	    5.5 	  -21.5 	  324.9 
MA1	Adirondacks	MA1-1:MA1-2:MA1-3:MA1-4:MA1-5:MA1-6:MA1-7:MA1-8:MA1-9	MA1-1a:MA1-2a:MA1-3a:MA1-4a:MA1-5a:MA1-6a:MA1-7a:MA1-8a:MA1-9a	    9.3 	ht	   73.9 	   50.7 	    31 	9.0	9 	9 	0 	t	8.7446 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	   12.5 	    8.4 	   32.2 	    1.6 
MA1	Adirondacks	MA1-1:MA1-2:MA1-3:MA1-4:MA1-5:MA1-6:MA1-7:MA1-8:MA1-9	MA1-1a:MA1-2a:MA1-3a:MA1-4a:MA1-5a:MA1-6a:MA1-7a:MA1-8a:MA1-9a	    8.2 	mt	  314.9 	  -36.7 	    41 	9.0	9 	9 	0 	t	8.8030 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    9.6 	    5.6 	   13.4 	  148.9 
