tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
GD1-1a		GD1-1																	This study	LP-NOMAG				Adirondacks	GD1
GD1-1a	GD1-1a_LP-DIR-T	GD1-1		mt	189.0	-13.3	1	27	-1	0.0	3.7	831	273	K		hargrave 2022-08-01 10:48:08	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Adirondacks	GD1
GD1-1a	GD1-1a_LP-DIR-T	GD1-1		mt	235.3	41.0	1	27	0	0.0	3.7	831	273	K		hargrave 2022-08-01 10:48:08	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Adirondacks	GD1
GD1-1a	GD1-1a_LP-DIR-T	GD1-1		mt	235.3	41.0	1	27	100	0.0	3.7	831	273	K		hargrave 2022-08-01 10:48:08	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Adirondacks	GD1
GD1-2a	GD1-2a_LP-DIR-T	GD1-2		mt	259.6	49.0	2	4	100	0.0	4.1	831	823	K		hargrave 2022-08-01 11:12:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Adirondacks	GD1
GD1-2a	GD1-2a_LP-DIR-T	GD1-2		lt	344.5	66.0	2	4	0	23.2	5.5	423	273	K		hargrave 2022-08-01 11:12:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Adirondacks	GD1
GD1-2a	GD1-2a_LP-DIR-T	GD1-2		mt	259.6	49.0	2	4	0	0.0	4.1	831	823	K		hargrave 2022-08-01 11:12:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Adirondacks	GD1
GD1-2a	GD1-2a_LP-DIR-T	GD1-2		lt	344.5	66.0	2	4	100	23.2	5.5	423	273	K		hargrave 2022-08-01 11:12:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Adirondacks	GD1
GD1-2a	GD1-2a_LP-DIR-T	GD1-2		mt	201.2	7.4	2	4	-1	0.0	4.1	831	823	K		hargrave 2022-08-01 11:12:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Adirondacks	GD1
GD1-2a	GD1-2a_LP-DIR-T	GD1-2		lt	214.3	50.6	2	4	-1	23.2	5.5	423	273	K		hargrave 2022-08-01 11:12:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Adirondacks	GD1
