tab	samples
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
	-72.7	0.0	0.0	90.0	This study	-40.0			0		SO-CMD-NORTH	HH4-1	HH4
	-79.5	0.0	0.0	90.0	This study	-39.0			0		SO-CMD-NORTH	HH4-2	HH4
	-66.7	0.0	0.0	90.0	This study	-47.0			0		SO-CMD-NORTH	HH4-3	HH4
	-26.8	0.0	0.0	90.0	This study	-64.0			0		SO-CMD-NORTH	HH4-4	HH4
	-77.1	0.0	0.0	90.0	This study	-60.0			0		SO-CMD-NORTH	HH4-5	HH4
	262.2	0.0	0.0	90.0	This study	-57.0			0		SO-CMD-NORTH	HH4-6	HH4
	-54.6	0.0	0.0	90.0	This study	-53.0			0		SO-CMD-NORTH	HH4-7	HH4
	-71.1	0.0	0.0	90.0	This study	-71.0			0		SO-CMD-NORTH	HH4-8	HH4
	-60.3	0.0	0.0	90.0	This study	-77.0			0		SO-CMD-NORTH	HH4-9	HH4
	-47.7	0.0	0.0	90.0	This study	-50.0			0		SO-CMD-NORTH	HH4-10	HH4
	-36.9	0.0	0.0	90.0	This study	-47.0			0		SO-CMD-NORTH	HH4-11	HH4
	-39.0	0.0	0.0	90.0	This study	-45.0			0		SO-CMD-NORTH	HH4-12	HH4
	265.6	0.0	0.0	90.0	This study	-60.0			0		SO-CMD-NORTH	HH4-13	HH4
	-48.1	0.0	0.0	90.0	This study	-50.0			0		SO-CMD-NORTH	HH5-1	HH5
	-56.8	0.0	0.0	90.0	This study	-59.0			0		SO-CMD-NORTH	HH5-2	HH5
	-86.9	0.0	0.0	90.0	This study	-36.0			0		SO-CMD-NORTH	HH5-3	HH5
	-60.9	0.0	0.0	90.0	This study	-64.0			0		SO-CMD-NORTH	HH5-4	HH5
	-41.9	0.0	0.0	90.0	This study	-60.0			0		SO-CMD-NORTH	HH5-5	HH5
	-53.6	0.0	0.0	90.0	This study	-76.0			0		SO-CMD-NORTH	HH5-6	HH5
	29.2	0.0	0.0	90.0	This study	-24.0			0		SO-CMD-NORTH	HH5-7	HH5
	17.9	0.0	0.0	90.0	This study	-28.0			0		SO-CMD-NORTH	HH5-8	HH5
	16.8	0.0	0.0	90.0	This study	-34.0			0		SO-CMD-NORTH	HH6-1	HH6
	-9.2	0.0	0.0	90.0	This study	-25.0			0		SO-CMD-NORTH	HH6-2	HH6
	-50.7	0.0	0.0	90.0	This study	-44.0			0		SO-CMD-NORTH	HH6-3	HH6
	-33.7	0.0	0.0	90.0	This study	-35.0			0		SO-CMD-NORTH	HH6-4	HH6
	-31.3	0.0	0.0	90.0	This study	-53.0			0		SO-CMD-NORTH	HH6-5	HH6
	-10.0	0.0	0.0	90.0	This study	-67.0			0		SO-CMD-NORTH	HH6-6	HH6
	5.1	0.0	0.0	90.0	This study	-43.0			0		SO-CMD-NORTH	HH6-7	HH6
	-13.9	0.0	0.0	90.0	This study	-44.0			0		SO-CMD-NORTH	HH6-8	HH6
	-2.8	0.0	0.0	90.0	This study	-67.0			0		SO-CMD-NORTH	HH6-9	HH6
	-63.3	0.0	0.0	90.0	This study	-59.0			0		SO-CMD-NORTH	HH6-10	HH6
	2.8	0.0	0.0	90.0	This study	-44.0			0		SO-CMD-NORTH	HH6-12	HH6
	-27.6	0.0	0.0	90.0	This study	-54.0			0		SO-CMD-NORTH	HH6-13	HH6
	-3.6	0.0	0.0	90.0	This study	-61.0			0		SO-CMD-NORTH	HH6-14	HH6
	5.9	0.0	0.0	90.0	This study	-38.0			0		SO-CMD-NORTH	HH6-15	HH6
	176.3	0.0	0.0	90.0	This study	-45.0			0		SO-CMD-NORTH	HH7-1	HH7
	233.9	0.0	0.0	90.0	This study	-44.0			0		SO-CMD-NORTH	HH7-2	HH7
	168.6	0.0	0.0	90.0	This study	-74.0			0		SO-CMD-NORTH	HH7-3	HH7
	169.0	0.0	0.0	90.0	This study	-76.0			0		SO-CMD-NORTH	HH7-4	HH7
	166.7	0.0	0.0	90.0	This study	-47.0			0		SO-CMD-NORTH	HH8-1	HH8
	190.7	0.0	0.0	90.0	This study	-35.0			0		SO-CMD-NORTH	HH8-2	HH8
	181.3	0.0	0.0	90.0	This study	-47.0			0		SO-CMD-NORTH	HH8-3	HH8
	135.7	0.0	0.0	90.0	This study	-55.0			0		SO-CMD-NORTH	HH8-4	HH8
	94.9	0.0	0.0	90.0	This study	-63.0			0		SO-CMD-NORTH	HH9-1	HH9
	137.9	0.0	0.0	90.0	This study	-92.0			0		SO-CMD-NORTH	HH9-2	HH9
	134.9	0.0	0.0	90.0	This study	-67.0			0		SO-CMD-NORTH	HH9-3	HH9
	123.9	0.0	0.0	90.0	This study	-41.0			0		SO-CMD-NORTH	HH9-4	HH9
	137.9	0.0	0.0	90.0	This study	-76.0			0		SO-CMD-NORTH	HH9-5	HH9
	119.9	0.0	0.0	90.0	This study	-72.0			0		SO-CMD-NORTH	HH9-6	HH9
	136.5	0.0	0.0	90.0	This study	-90.0			0		SO-CMD-NORTH	HH10-1	HH10
	115.8	0.0	0.0	90.0	This study	-88.0			0		SO-CMD-NORTH	HH10-2	HH10
	99.0	0.0	0.0	90.0	This study	-76.0			0		SO-CMD-NORTH	HH10-3	HH10
	-35.2	0.0	0.0	90.0	This study	-31.0			0		SO-CMD-NORTH	HH12-1	HH12
	-34.2	0.0	0.0	90.0	This study	-31.0			0		SO-CMD-NORTH	HH12-2	HH12
	-60.9	0.0	0.0	90.0	This study	-44.0			0		SO-CMD-NORTH	HH12-3	HH12
	-34.2	0.0	0.0	90.0	This study	-49.0			0		SO-CMD-NORTH	HH12-4	HH12
	-23.2	0.0	0.0	90.0	This study	-60.0			0		SO-CMD-NORTH	HH12-5	HH12
	-20.2	0.0	0.0	90.0	This study	-50.0			0		SO-CMD-NORTH	HH12-6	HH12
	77.6	0.0	0.0	90.0	This study	-73.0			0		SO-CMD-NORTH	TH1-1	TH1
	60.6	0.0	0.0	90.0	This study	-60.0			0		SO-CMD-NORTH	TH1-2	TH1
	123.0	0.0	0.0	90.0	This study	-57.0			0		SO-CMD-NORTH	TH1-3	TH1
	123.0	0.0	0.0	90.0	This study	-56.0			0		SO-CMD-NORTH	TH1-4	TH1
	11.5	0.0	0.0	90.0	This study	-62.0			0		SO-CMD-NORTH	TH1-5	TH1
	3.5	0.0	0.0	90.0	This study	-64.0			0		SO-CMD-NORTH	TH1-6	TH1
	179.9	0.0	0.0	90.0	This study	-45.0			0		SO-CMD-NORTH	TH2-1	TH2
	231.1	0.0	0.0	90.0	This study	-30.0			0		SO-CMD-NORTH	TH2-2	TH2
	190.3	0.0	0.0	90.0	This study	-32.0			0		SO-CMD-NORTH	TH2-3	TH2
	169.4	0.0	0.0	90.0	This study	-26.0			0		SO-CMD-NORTH	TH2-4	TH2
	-81.7	0.0	0.0	90.0	This study	-33.0			0		SO-CMD-NORTH	TH2-5	TH2
	155.5	0.0	0.0	90.0	This study	-50.0			0		SO-CMD-NORTH	TH2-6	TH2
	118.2	0.0	0.0	90.0	This study	-74.0			0		SO-CMD-NORTH	TH3-1	TH3
	121.6	0.0	0.0	90.0	This study	-70.0			0		SO-CMD-NORTH	TH3-2	TH3
	121.6	0.0	0.0	90.0	This study	-47.0			0		SO-CMD-NORTH	TH3-3	TH3
	102.4	0.0	0.0	90.0	This study	-59.0			0		SO-CMD-NORTH	TH3-4	TH3
	128.4	0.0	0.0	90.0	This study	-47.0			0		SO-CMD-NORTH	TH3-5	TH3
	134.9	0.0	0.0	90.0	This study	-48.0			0		SO-CMD-NORTH	TH3-6	TH3
	68.3	0.0	0.0	90.0	This study	-58.0			0		SO-CMD-NORTH	TH3-7	TH3
	-80.2	0.0	0.0	90.0	This study	-62.0			0		SO-CMD-NORTH	TU1-1	TU1
	-75.0	0.0	0.0	90.0	This study	-54.0			0		SO-CMD-NORTH	TU1-2	TU1
	214.4	0.0	0.0	90.0	This study	-47.0			0		SO-CMD-NORTH	TU1-3	TU1
	226.6	0.0	0.0	90.0	This study	-66.0			0		SO-CMD-NORTH	TU1-4	TU1
	264.8	0.0	0.0	90.0	This study	-71.0			0		SO-CMD-NORTH	TU1-5	TU1
	255.0	0.0	0.0	90.0	This study	-64.0			0		SO-CMD-NORTH	TU1-6	TU1
	254.2	0.0	0.0	90.0	This study	-59.0			0		SO-CMD-NORTH	TU1-7	TU1
	251.5	0.0	0.0	90.0	This study	-43.0			0		SO-CMD-NORTH	TU1-8	TU1
	254.5	0.0	0.0	90.0	This study	-35.0			0		SO-CMD-NORTH	TU1-9	TU1
	-69.1	0.0	0.0	90.0	This study	-30.0			0		SO-CMD-NORTH	TU1-10	TU1
	265.4	0.0	0.0	90.0	This study	-61.0			0		SO-CMD-NORTH	TU2-1	TU2
	267.7	0.0	0.0	90.0	This study	-70.0			0		SO-CMD-NORTH	TU2-2	TU2
	263.0	0.0	0.0	90.0	This study	-67.0			0		SO-CMD-NORTH	TU2-3	TU2
	265.5	0.0	0.0	90.0	This study	-49.0			0		SO-CMD-NORTH	TU2-4	TU2
	262.8	0.0	0.0	90.0	This study	-62.0			0		SO-CMD-NORTH	TU2-5	TU2
	262.8	0.0	0.0	90.0	This study	-42.0			0		SO-CMD-NORTH	TU2-6	TU2
