tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon	site_name
HH10	Grenville orogen	HH10-1:HH10-2:HH10-3	HH10-1a:HH10-2a:HH10-3a	   25.9 	lt	  204.7 	   32.6 	    24 	3.0	3 	3 	0 	t	2.9157 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   29.3 	   16.6 	  -23.5 	  255.9 	HH10
HH10	Grenville orogen	HH10-1:HH10-2:HH10-3	HH10-1a:HH10-2a:HH10-3a	   25.9 	lt	  204.7 	   32.6 	    24 	3.0	3 	3 	0 	t	2.9157 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   29.3 	   16.6 	  -23.5 	  255.9 	HH10
HH12	Grenville orogen															44.9	281.6											HH12
HH4	Grenville orogen	HH4-1:HH4-2	HH4-1a:HH4-2a	   12.6 	py	   79.5 	   -5.6 	   397 	2.0	2 	2 	0 	t	1.9975 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	   12.6 	    6.3 	    5.4 	   21.0 	HH4
HH4	Grenville orogen	HH4-11:HH4-12:HH4-13:HH4-3:HH4-4:HH4-5:HH4-6	HH4-11a:HH4-12a:HH4-13a:HH4-3a:HH4-4a:HH4-5a:HH4-6a	  180.0 	lt	  235.5 	    4.3 	     1 	7.0	7 	7 	0 	t	2.2352 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	  180.4 	   90.4 	  -22.0 	  219.0 	HH4
HH4	Grenville orogen	HH4-1:HH4-2	HH4-1a:HH4-2a	   12.6 	py	   79.5 	   -5.6 	   397 	2.0	2 	2 	0 	t	1.9975 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	   12.6 	    6.3 	    5.4 	   21.0 	HH4
HH4	Grenville orogen	HH4-11:HH4-12:HH4-13:HH4-3:HH4-4:HH4-5:HH4-6	HH4-11a:HH4-12a:HH4-13a:HH4-3a:HH4-4a:HH4-5a:HH4-6a	  180.0 	lt	  235.5 	    4.3 	     1 	7.0	7 	7 	0 	t	2.2352 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	  180.4 	   90.4 	  -22.0 	  219.0 	HH4
HH5	Grenville orogen	HH5-1:HH5-2:HH5-3:HH5-4:HH5-5:HH5-6:HH5-7:HH5-8	HH5-1a:HH5-2a:HH5-3a:HH5-4a:HH5-5a:HH5-6a:HH5-7a:HH5-8a	   51.3 	lt	  213.2 	   31.1 	     2 	8.0	8 	8 	0 	t	4.7009 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   57.4 	   32.1 	  -21.3 	  247.4 	HH5
HH5	Grenville orogen	HH5-1:HH5-2:HH5-3:HH5-4:HH5-5:HH5-6:HH5-7:HH5-8	HH5-1a:HH5-2a:HH5-3a:HH5-4a:HH5-5a:HH5-6a:HH5-7a:HH5-8a	   51.3 	lt	  213.2 	   31.1 	     2 	8.0	8 	8 	0 	t	4.7009 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   57.4 	   32.1 	  -21.3 	  247.4 	HH5
HH6	Grenville orogen	HH6-12:HH6-13:HH6-14:HH6-15:HH6-1:HH6-2:HH6-4:HH6-5:HH6-6:HH6-7:HH6-8:HH6-9	HH6-12a:HH6-13a:HH6-14a:HH6-15a:HH6-1a:HH6-2a:HH6-4a:HH6-5a:HH6-6a:HH6-7a:HH6-8a:HH6-9a	    9.1 	pdf	  354.6 	   52.4 	    23 	12.0	12 	12 	0 	n	11.5313 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   12.5 	    8.6 	   77.4 	  122.8 	HH6
HH6	Grenville orogen	HH6-12:HH6-13:HH6-14:HH6-15:HH6-1:HH6-2:HH6-4:HH6-5:HH6-6:HH6-7:HH6-8:HH6-9	HH6-12a:HH6-13a:HH6-14a:HH6-15a:HH6-1a:HH6-2a:HH6-4a:HH6-5a:HH6-6a:HH6-7a:HH6-8a:HH6-9a	    9.1 	pdf	  354.6 	   52.4 	    23 	12.0	12 	12 	0 	n	11.5313 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   12.5 	    8.6 	   77.4 	  122.8 	HH6
HH7	Grenville orogen	HH7-1:HH7-2	HH7-1a:HH7-2a	   62.9 	py	  111.9 	   58.9 	    18 	2.0	2 	2 	0 	t	1.9442 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	   93.8 	   69.9 	   14.3 	  329.1 	HH7
HH7	Grenville orogen	HH7-1:HH7-2	HH7-1a:HH7-2a	   62.9 	py	  111.9 	   58.9 	    18 	2.0	2 	2 	0 	t	1.9442 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	   93.8 	   69.9 	   14.3 	  329.1 	HH7
HH8	Grenville orogen															44.9	281.6											HH8
HH9	Grenville orogen	HH9-1:HH9-2:HH9-3:HH9-4:HH9-5:HH9-6	HH9-1a:HH9-2a:HH9-3a:HH9-4a:HH9-5a:HH9-6a	   29.0 	lt	  201.8 	   30.3 	     6 	6.0	6 	6 	0 	t	5.2033 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   32.2 	   17.9 	  -25.7 	  258.3 	HH9
HH9	Grenville orogen	HH9-1:HH9-2:HH9-3:HH9-4:HH9-5:HH9-6	HH9-1a:HH9-2a:HH9-3a:HH9-4a:HH9-5a:HH9-6a	   29.0 	lt	  201.8 	   30.3 	     6 	6.0	6 	6 	0 	t	5.2033 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   32.2 	   17.9 	  -25.7 	  258.3 	HH9
SJ1	Grenville orogen	SJ1-1:SJ1-2:SJ1-3:SJ1-4:SJ1-5	SJ1-1a:SJ1-2a:SJ1-3a:SJ1-4a:SJ1-5a	   13.1 	mt	   86.3 	   57.7 	    35 	5.0	5 	5 	0 	t	4.8865 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   19.2 	   14.1 	   28.3 	  344.3 	SJ1
SJ1	Grenville orogen	SJ1-1:SJ1-2:SJ1-3:SJ1-4:SJ1-5	SJ1-1a:SJ1-2a:SJ1-3a:SJ1-4a:SJ1-5a	   13.1 	mt	   86.3 	   57.7 	    35 	5.0	5 	5 	0 	t	4.8865 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   19.2 	   14.1 	   28.3 	  344.3 	SJ1
SJ10	Grenville orogen	SJ10-1:SJ10-2:SJ10-3:SJ10-4:SJ10-5:SJ10-6	SJ10-1a:SJ10-2a:SJ10-3a:SJ10-4a:SJ10-5a:SJ10-6a	    4.7 	mt	   97.1 	   50.8 	   203 	6.0	6 	6 	0 	t	5.9754 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    6.3 	    4.3 	   17.1 	  343.9 	SJ10
SJ10	Grenville orogen	SJ10-1:SJ10-2:SJ10-3:SJ10-4:SJ10-5:SJ10-6	SJ10-1a:SJ10-2a:SJ10-3a:SJ10-4a:SJ10-5a:SJ10-6a	    4.7 	mt	   97.1 	   50.8 	   203 	6.0	6 	6 	0 	t	5.9754 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	    6.3 	    4.3 	   17.1 	  343.9 	SJ10
SJ11	Grenville orogen	SJ11-4	SJ11-4a		mt	46.1	74.0		1.0	1	1	0	n		100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  324.9 	  293.2 	   58.9 	  325.6 	SJ11
SJ11	Grenville orogen	SJ11-4	SJ11-4a		mt	46.1	74.0		1.0	1	1	0	n		0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  324.9 	  293.2 	   58.9 	  325.6 	SJ11
SJ13	Grenville orogen	SJ13-1:SJ13-2:SJ13-3	SJ13-1a:SJ13-2a:SJ13-3a	    7.9 	mt	  103.7 	   42.0 	   248 	3.0	3 	3 	0 	t	2.9919 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	    9.7 	    5.9 	    7.9 	  345.0 	SJ13
SJ13	Grenville orogen	SJ13-1:SJ13-2:SJ13-3	SJ13-1a:SJ13-2a:SJ13-3a	    7.9 	mt	  103.7 	   42.0 	   248 	3.0	3 	3 	0 	t	2.9919 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    9.7 	    5.9 	    7.9 	  345.0 	SJ13
SJ14	Grenville orogen	SJ14-1	SJ14-1a		lt	287.1	-69.1		1.0	1	1	0	t		0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  306.3 	  260.5 	  -25.8 	  141.7 	SJ14
SJ14	Grenville orogen	SJ14-2:SJ14-4	SJ14-2a:SJ14-4a	  180.0 	mmt	   87.4 	   12.0 	     8 	2.0	2 	2 	0 	t	1.8706 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  183.0 	   93.0 	    6.1 	    9.1 	SJ14
SJ14	Grenville orogen	SJ14-1:SJ14-2:SJ14-3:SJ14-4	SJ14-1a:SJ14-2a:SJ14-3a:SJ14-4a	   19.2 	mt	   78.6 	   45.5 	    24 	4.0	4 	4 	0 	t	3.8745 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	   24.4 	   15.5 	   26.4 	  358.9 	SJ14
SJ14	Grenville orogen	SJ14-1	SJ14-1a		lt	287.1	-69.1		1.0	1	1	0	t		100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  306.3 	  260.5 	  -25.8 	  141.7 	SJ14
SJ14	Grenville orogen	SJ14-2:SJ14-4	SJ14-2a:SJ14-4a	  180.0 	mmt	   87.4 	   12.0 	     8 	2.0	2 	2 	0 	t	1.8706 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  183.0 	   93.0 	    6.1 	    9.1 	SJ14
SJ14	Grenville orogen	SJ14-1:SJ14-2:SJ14-3:SJ14-4	SJ14-1a:SJ14-2a:SJ14-3a:SJ14-4a	   19.2 	mt	   78.6 	   45.5 	    24 	4.0	4 	4 	0 	t	3.8745 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	g	   24.4 	   15.5 	   26.4 	  358.9 	SJ14
SJ2	Grenville orogen	SJ2-1:SJ2-2:SJ2-3	SJ2-1a:SJ2-2a:SJ2-3a	    4.0 	mt	   81.6 	   52.1 	   949 	3.0	3 	3 	0 	t	2.9979 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	    5.5 	    3.8 	   27.9 	  352.0 	SJ2
SJ2	Grenville orogen	SJ2-1:SJ2-2:SJ2-3	SJ2-1a:SJ2-2a:SJ2-3a	    4.0 	mt	   81.6 	   52.1 	   949 	3.0	3 	3 	0 	t	2.9979 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    5.5 	    3.8 	   27.9 	  352.0 	SJ2
SJ3	Grenville orogen	SJ3-1:SJ3-2:SJ3-3:SJ3-4	SJ3-1a:SJ3-2a:SJ3-3a:SJ3-4a	    6.1 	mt	   83.4 	   60.9 	   226 	4.0	4 	4 	0 	t	3.9867 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	    9.3 	    7.1 	   32.2 	  342.4 	SJ3
SJ3	Grenville orogen	SJ3-1:SJ3-2:SJ3-3:SJ3-4	SJ3-1a:SJ3-2a:SJ3-3a:SJ3-4a	    6.1 	mt	   83.4 	   60.9 	   226 	4.0	4 	4 	0 	t	3.9867 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	g	    9.3 	    7.1 	   32.2 	  342.4 	SJ3
SJ5	Grenville orogen	SJ5-1:SJ5-2:SJ5-4:SJ5-5:SJ5-6	SJ5-1a:SJ5-2a:SJ5-4a:SJ5-5a:SJ5-6a	   17.5 	mt	  126.2 	   25.6 	    20 	5.0	5 	5 	0 	t	4.8005 	100	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	g	   18.9 	   10.2 	  -14.0 	  335.6 	SJ5
SJ5	Grenville orogen	SJ5-1:SJ5-2:SJ5-4	SJ5-1a:SJ5-2a:SJ5-4a	   10.3 	mmt	  274.6 	  -52.7 	   146 	3.0	3 	3 	0 	t	2.9863 	0	44.9	281.6		ACCEPT	pmagpy-4.2.113: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   14.2 	    9.8 	  -19.9 	  164.0 	SJ5
