tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
HH10-1a		HH10-1																	This study	LP-NOMAG				Grenville orogen	HH10
HH10-1a	HH10-1a_LP-DIR-T	HH10-1		lt	198.5	20.2	1	5	100	7.1	7.7	473	273	K		hargrave 2023-11-13 18:05:20	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH10
HH10-1a	HH10-1a_LP-DIR-T	HH10-1		lt	198.5	20.2	1	5	0	7.1	7.7	473	273	K		hargrave 2023-11-13 18:05:20	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH10
HH10-1a	HH10-1a_LP-DIR-T	HH10-1		lt	112.6	26.2	1	5	-1	7.1	7.7	473	273	K		hargrave 2023-11-13 18:05:20	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH10
HH10-2a	HH10-2a_LP-DIR-T	HH10-2		lt	218.1	29.9	1	5	100	8.8	3.4	473	273	K		hargrave 2023-11-13 18:09:57	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH10
HH10-2a	HH10-2a_LP-DIR-T	HH10-2		lt	218.1	29.9	1	5	0	8.8	3.4	473	273	K		hargrave 2023-11-13 18:09:57	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH10
HH10-2a	HH10-2a_LP-DIR-T	HH10-2		lt	120.8	-9.6	1	5	-1	8.8	3.4	473	273	K		hargrave 2023-11-13 18:09:57	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH10
HH10-2a		HH10-2																	This study	LP-NOMAG				Grenville orogen	HH10
HH10-3a	HH10-3a_LP-DIR-T	HH10-3		lt	136.8	5.2	1	7	-1	13.2	13.0	523	273	K		hargrave 2023-11-13 18:11:40	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH10
HH10-3a	HH10-3a_LP-DIR-T	HH10-3		lt	196.4	46.5	1	7	100	13.2	13.0	523	273	K		hargrave 2023-11-13 18:11:40	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH10
HH10-3a	HH10-3a_LP-DIR-T	HH10-3		lt	196.4	46.5	1	7	0	13.2	13.0	523	273	K		hargrave 2023-11-13 18:11:40	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH10
HH10-3a		HH10-3																	This study	LP-NOMAG				Grenville orogen	HH10
HH12-1a		HH12-1																	This study	LP-NOMAG				Grenville orogen	HH12
HH12-2a		HH12-2																	This study	LP-NOMAG				Grenville orogen	HH12
HH12-3a		HH12-3																	This study	LP-NOMAG				Grenville orogen	HH12
HH12-4a		HH12-4																	This study	LP-NOMAG				Grenville orogen	HH12
HH12-5a		HH12-5																	This study	LP-NOMAG				Grenville orogen	HH12
HH12-6a		HH12-6																	This study	LP-NOMAG				Grenville orogen	HH12
HH4-10a		HH4-10																	This study	LP-NOMAG				Grenville orogen	HH4
HH4-11a	HH4-11a_LP-DIR-T	HH4-11		lt	332.8	-64.7	1	5	100	8.9	6.1	548	423	K		hargrave 2023-11-13 16:56:13	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH4
HH4-11a		HH4-11																	This study	LP-NOMAG				Grenville orogen	HH4
HH4-11a	HH4-11a_LP-DIR-T	HH4-11		lt	4.3	-18.0	1	5	-1	8.9	6.1	548	423	K		hargrave 2023-11-13 16:56:13	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH4
HH4-11a	HH4-11a_LP-DIR-T	HH4-11		lt	332.8	-64.7	1	5	0	8.9	6.1	548	423	K		hargrave 2023-11-13 16:56:13	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH4
HH4-12a		HH4-12																	This study	LP-NOMAG				Grenville orogen	HH4
HH4-12a	HH4-12a_LP-DIR-T	HH4-12		lt	325.5	-48.4	1	6	100	7.4	6.6	548	373	K		hargrave 2023-11-13 16:57:43	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH4
HH4-12a	HH4-12a_LP-DIR-T	HH4-12		lt	3.0	-3.5	1	6	-1	7.4	6.6	548	373	K		hargrave 2023-11-13 16:57:43	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH4
HH4-12a	HH4-12a_LP-DIR-T	HH4-12		lt	325.5	-48.4	1	6	0	7.4	6.6	548	373	K		hargrave 2023-11-13 16:57:43	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH4
HH4-13a	HH4-13a_LP-DIR-T	HH4-13		lt	308.6	-70.1	1	5	100	7.6	2.6	548	423	K		hargrave 2023-11-13 16:59:09	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH4
HH4-13a	HH4-13a_LP-DIR-T	HH4-13		lt	308.6	-70.1	1	5	0	7.6	2.6	548	423	K		hargrave 2023-11-13 16:59:09	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH4
HH4-13a		HH4-13																	This study	LP-NOMAG				Grenville orogen	HH4
HH4-13a	HH4-13a_LP-DIR-T	HH4-13		lt	13.9	-14.7	1	5	-1	7.6	2.6	548	423	K		hargrave 2023-11-13 16:59:09	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH4
HH4-1a	HH4-1a_LP-DIR-T	HH4-1		py	76.8	-6.7	1	6	100	5.8	4.5	613	523	K		hargrave 2023-11-25 09:11:51	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH4
